公司代號,公司名稱,統一編號,_統一編號
2884,玉山金融控股股份有限公司,"	70796305","_	70796305"
2885,元大金融控股股份有限公司,"	70796749","_	70796749"
2886,兆豐金融控股股份有限公司,"	70796754","_	70796754"
2887,台新金融控股股份有限公司,"	80328055","_	80328055"
2888,新光金融控股股份有限公司,"	80328219","_	80328219"
2889,國票金融控股股份有限公司,"	80330257","_	80330257"
2890,永豐金融控股股份有限公司,"	80333183","_	80333183"
2891,中國信託金融控股股份有限公司,"	80333992","_	80333992"
2892,第一金融控股股份有限公司,"	80351999","_	80351999"
2893,臺灣新光商業銀行股份有限公司,"	97172648","_	97172648"
2894,大慶票券金融股份有限公司,"	97172915","_	97172915"
2895,陽信商業銀行股份有限公司,"	16091049","_	16091049"
2897,王道商業銀行股份有限公司,"	70745361","_	70745361"
2899,台北金融大樓股份有限公司,"	16095410","_	16095410"
2901,欣欣大眾市場股份有限公司,"	11364230","_	11364230"
2903,遠東百貨股份有限公司,"	03521905","_	03521905"
2904,匯僑股份有限公司,"	12195466","_	12195466"
2905,三商投資控股股份有限公司,"	11052709","_	11052709"
2906,高林實業股份有限公司,"	11547230","_	11547230"
2908,特力股份有限公司,"	20795246","_	20795246"
2910,統領百貨股份有限公司,"	20937863","_	20937863"
2911,麗嬰房股份有限公司,"	04377371","_	04377371"
2912,統一超商股份有限公司,"	22555003","_	22555003"
2913,台灣農林股份有限公司,"	07525207","_	07525207"
2915,潤泰全球股份有限公司,"	14053007","_	14053007"
2916,滿心企業股份有限公司,"	12498877","_	12498877"
2920,海景世界企業股份有限公司,"	70739971","_	70739971"
2923,鼎固控股有限公司,"	31896684","_	31896684"
2924,開曼東凌股份有限公司,"	26335810","_	26335810"
2926,誠品生活股份有限公司,"	27952966","_	27952966"
2928,紅馬集團股份有限公司,"	54962284","_	54962284"
2929,淘帝國際控股有限公司,"	54381224","_	54381224"
2936,客思達股份有限公司,"	47585813","_	47585813"
2937,集雅社股份有限公司,"	89266170","_	89266170"
2938,床的世界股份有限公司,"	80646713","_	80646713"
2939,凱羿國際集團股份有限公司,"	72768516","_	72768516"
2940,歐都納股份有限公司,"	59112564","_	59112564"
2941,米斯特國際企業股份有限公司,"	53167020","_	53167020"
2942,京站實業股份有限公司,"	28710621","_	28710621"
2945,三商家購股份有限公司,"	54164937","_	54164937"
3002,歐格電子工業股份有限公司,"	31306250","_	31306250"
3003,健和興端子股份有限公司,"	59276051","_	59276051"
3004,豐達科技股份有限公司,"	16095404","_	16095404"
