公司代號,_公司代號,公司名稱,統一編號,_統一編號,市場別
1702,_1702,南僑投資控股股份有限公司,7305506,_	07305506,上市
1707,_1707,葡萄王生技股份有限公司,11880517,_	11880517,上市
1708,_1708,東南實業股份有限公司,11384405,_	11384405,上市
1708,_1708,東南實業股份有限公司,11384405,_	11384405,上市
1709,_1709,和益化學工業股份有限公司,4312878,_	04312878,上市
1710,_1710,東聯化學股份有限公司,14057995,_	14057995,上市
1711,_1711,臺灣永光化學工業股份有限公司,15458455,_	15458455,上市
1712,_1712,興農股份有限公司,51911712,_	51911712,上市
1713,_1713,國泰化工廠股份有限公司,3375001,_	03375001,上市
1714,_1714,和桐化學股份有限公司,12526607,_	12526607,上市
1716,_1716,永信藥品工業股份有限公司,56065601,_	56065601,公開發行
1717,_1717,長興材料工業股份有限公司,75339004,_	75339004,上市
1718,_1718,中國人造纖維股份有限公司,7066907,_	07066907,上市
1720,_1720,生達化學製藥股份有限公司,71122503,_	71122503,上市
1721,_1721,三晃股份有限公司,55738290,_	55738290,上市
1722,_1722,台灣肥料股份有限公司,3795101,_	03795101,上市
1723,_1723,中鋼碳素化學股份有限公司,23221384,_	23221384,上市
1724,_1724,台硝股份有限公司,38033305,_	38033305,不繼續公開發行
1725,_1725,元禎企業股份有限公司,12132033,_	12132033,上市
1726,_1726,永記造漆工業股份有限公司,75137605,_	75137605,上市
1727,_1727,臺灣中華化學工業股份有限公司,3558206,_	03558206,上市
1730,_1730,花仙子企業股份有限公司,7708830,_	07708830,上市
1731,_1731,美吾華股份有限公司,14089976,_	14089976,上市
1732,_1732,毛寶股份有限公司,34245356,_	34245356,上市
1733,_1733,五鼎生物技術股份有限公司,16130182,_	16130182,上市
1734,_1734,杏輝藥品工業股份有限公司,42042734,_	42042734,上市
1735,_1735,日勝化工股份有限公司,23263551,_	23263551,上市
1736,_1736,喬山健康科技股份有限公司,52347361,_	52347361,上市
1737,_1737,臺鹽實業股份有限公司,89397503,_	89397503,上市
1739,_1739,欣雲天然氣股份有限公司,22820164,_	22820164,公開發行
1740,_1740,欣桃天然氣股份有限公司,43147546,_	43147546,公開發行
1742,_1742,台灣蠟品股份有限公司,22625269,_	22625269,上櫃
1743,_1743,大台南天然氣股份有限公司,22660547,_	22660547,公開發行
1745,_1745,欣嘉石油氣股份有限公司,22658633,_	22658633,公開發行
1752,_1752,南光化學製藥股份有限公司,69275313,_	69275313,上市
1760,_1760,寶齡富錦生技股份有限公司,4742997,_	04742997,上市
1762,_1762,中化合成生技股份有限公司,3088704,_	03088704,上市
1763,_1763,奇美實業股份有限公司,68387705,_	68387705,公開發行
1764,_1764,長春石油化學股份有限公司,11384806,_	11384806,公開發行
1765,_1765,長春人造樹脂廠股份有限公司,11384708,_	11384708,公開發行
1766,_1766,大連化學工業股份有限公司,12233428,_	12233428,公開發行
1767,_1767,陽明山瓦斯股份有限公司,29705246,_	29705246,公開發行
1769,_1769,欣中天然氣股份有限公司,51326774,_	51326774,公開發行
1770,_1770,信東生技股份有限公司,43211700,_	43211700,公開發行
1773,_1773,勝一化工股份有限公司,75970680,_	75970680,上市
1775,_1775,大東樹脂化學股份有限公司,51008069,_	51008069,公開發行
1776,_1776,展宇科技材料股份有限公司,47061800,_	47061800,上市
1777,_1777,生泰合成工業股份有限公司,72197621,_	72197621,上櫃
1780,_1780,立弘生化科技股份有限公司,12971536,_	12971536,興櫃
1781,_1781,合世生醫科技股份有限公司,97304042,_	97304042,上櫃
1783,_1783,和康生物科技股份有限公司,16749811,_	16749811,上市
1784,_1784,訊聯生物科技股份有限公司,70836411,_	70836411,上櫃
1785,_1785,光洋應用材料科技股份有限公司,43787872,_	43787872,上櫃
1786,_1786,科妍生物科技股份有限公司,13159100,_	13159100,上市
1787,_1787,福盈科技化學股份有限公司,12207266,_	12207266,不繼續公開發行
1788,_1788,杏昌生技股份有限公司,23161816,_	23161816,上櫃
1789,_1789,台灣神隆股份有限公司,16130161,_	16130161,上市
1795,_1795,美時化學製藥股份有限公司,11456110,_	11456110,上市
1796,_1796,金穎生物科技股份有限公司,16962158,_	16962158,上櫃
1799,_1799,易威生醫科技股份有限公司,16570131,_	16570131,上櫃
1802,_1802,台灣玻璃工業股份有限公司,11914002,_	11914002,上市
1805,_1805,寶徠建設股份有限公司,12179563,_	12179563,上市
1806,_1806,冠軍建材股份有限公司,49701774,_	49701774,上市
1808,_1808,潤隆建設股份有限公司,34149369,_	34149369,上市
1809,_1809,中國製釉股份有限公司,47056834,_	47056834,上市
1810,_1810,和成欣業股份有限公司,3228304,_	03228304,上市
1813,_1813,寶利徠光學科技股份有限公司,84449952,_	84449952,上櫃
1814,_1814,東聯光訊玻璃股份有限公司,23902451,_	23902451,不繼續公開發行
1815,_1815,富喬工業股份有限公司,16834268,_	16834268,上櫃
1817,_1817,凱撒衛浴股份有限公司,22746550,_	22746550,上市
1819,_1819,豐鼎光波奈米科技股份有限公司,89321602,_	89321602,公開發行
1902,_1902,台灣紙業股份有限公司,11912102,_	11912102,不繼續公開發行
1903,_1903,士林紙業股份有限公司,11038101,_	11038101,上市
1904,_1904,正隆股份有限公司,33085508,_	33085508,上市
1905,_1905,中華紙漿股份有限公司,94025264,_	94025264,上市
1906,_1906,寶隆國際股份有限公司,12030606,_	12030606,上市
1907,_1907,永豐餘投資控股股份有限公司,85066002,_	85066002,上市
1909,_1909,榮成紙業股份有限公司,34202841,_	34202841,上市
2002,_2002,中國鋼鐵股份有限公司,30414175,_	30414175,上市
2006,_2006,東和鋼鐵企業股份有限公司,75280209,_	75280209,上市
2007,_2007,燁興企業股份有限公司,75992214,_	75992214,上市
2008,_2008,高興昌鋼鐵股份有限公司,75466009,_	75466009,上市
2009,_2009,第一伸銅科技股份有限公司,82001528,_	82001528,上市
2010,_2010,春源鋼鐵工業股份有限公司,11529802,_	11529802,上市
2012,_2012,春雨工廠股份有限公司,88187108,_	88187108,上市
2013,_2013,中國鋼鐵結構股份有限公司,85800192,_	85800192,上市
2014,_2014,中鴻鋼鐵股份有限公司,7838854,_	07838854,上市
2015,_2015,豐興鋼鐵股份有限公司,55389357,_	55389357,上市
2017,_2017,官田鋼鐵股份有限公司,72065240,_	72065240,上市
2020,_2020,美亞鋼管廠股份有限公司,44680700,_	44680700,上市
2022,_2022,聚亨企業股份有限公司,79841479,_	79841479,上市
2023,_2023,燁輝企業股份有限公司,75947936,_	75947936,上市
2024,_2024,志聯工業股份有限公司,43633504,_	43633504,上市
2025,_2025,千興不銹鋼(股)公司,70005915,_	70005915,上市
2027,_2027,大成不銹鋼工業股份有限公司,22318348,_	22318348,上市
2028,_2028,威致鋼鐵工業股份有限公司,69771636,_	69771636,上市
2029,_2029,盛餘股份有限公司,79837539,_	79837539,上市
2030,_2030,彰源企業股份有限公司,60330130,_	60330130,上市
2031,_2031,新光鋼鐵股份有限公司,35836625,_	35836625,上市
2032,_2032,新鋼工業股份有限公司,34008635,_	34008635,上市
2033,_2033,佳大世界股份有限公司,72072615,_	72072615,上市
2034,_2034,允強實業股份有限公司,59068700,_	59068700,上市
2035,_2035,唐榮鐵工廠股份有限公司,75460005,_	75460005,上櫃
2038,_2038,海光企業股份有限公司,75470524,_	75470524,上市
2041,_2041,燁茂實業股份有限公司,76480628,_	76480628,公開發行
2043,_2043,福光企業股份有限公司,73632361,_	73632361,不繼續公開發行
2048,_2048,中龍鋼鐵股份有限公司,84613756,_	84613756,公開發行
2049,_2049,上銀科技股份有限公司,23503047,_	23503047,上市
2056,_2056,璋釔鋼鐵廠股份有限公司,59315006,_	59315006,公開發行
2059,_2059,川湖科技股份有限公司,22274989,_	22274989,上市
2060,_2060,永發鋼鐵工業股份有限公司,35489006,_	35489006,不繼續公開發行
2061,_2061,風青實業股份有限公司,89260422,_	89260422,上櫃
2062,_2062,橋椿金屬股份有限公司,59353423,_	59353423,上市
2063,_2063,世鎧精密股份有限公司,86637206,_	86637206,上櫃
